SICBL23CD,SICBL23CDH,SICBL23NM
E38000006,02P,NHS South Yorkshire ICB - 02P
E38000007,99E,NHS Mid and South Essex ICB - 99E
E38000008,02Q,NHS Nottingham and Nottinghamshire ICB - 02Q
E38000014,00Q,NHS Lancashire and South Cumbria ICB - 00Q
E38000015,00R,NHS Lancashire and South Cumbria ICB - 00R
E38000016,00T,NHS Greater Manchester ICB - 00T
E38000021,09D,NHS Sussex ICB - 09D
E38000024,00V,NHS Greater Manchester ICB - 00V
E38000025,02T,NHS West Yorkshire ICB - 02T
E38000028,04Y,NHS Staffordshire and Stoke-on-Trent ICB - 04Y
E38000030,99F,NHS Mid and South Essex ICB - 99F
E38000034,00X,NHS Lancashire and South Cumbria ICB - 00X
E38000044,02X,NHS South Yorkshire ICB - 02X
E38000045,11J,NHS Dorset ICB - 11J
E38000049,06K,NHS Hertfordshire and West Essex ICB - 06K
E38000050,01A,NHS Lancashire and South Cumbria ICB - 01A
E38000051,03W,"NHS Leicester, Leicestershire and Rutland ICB - 03W"
E38000052,02Y,NHS Humber and North Yorkshire ICB - 02Y
E38000053,05D,NHS Staffordshire and Stoke-on-Trent ICB - 05D
E38000062,11M,NHS Gloucestershire ICB - 11M
E38000068,01F,NHS Cheshire and Merseyside ICB - 01F
E38000079,06N,NHS Hertfordshire and West Essex ICB - 06N
E38000080,01D,NHS Greater Manchester ICB - 01D
E38000085,03F,NHS Humber and North Yorkshire ICB - 03F
E38000086,06L,NHS Suffolk and North East Essex ICB - 06L
E38000089,11N,NHS Cornwall and the Isles of Scilly ICB - 11N
E38000091,01J,NHS Cheshire and Merseyside ICB - 01J
E38000097,04C,"NHS Leicester, Leicestershire and Rutland ICB - 04C"
E38000101,99A,NHS Cheshire and Merseyside ICB - 99A
E38000106,06Q,NHS Mid and South Essex ICB - 06Q
E38000117,06T,NHS Suffolk and North East Essex ICB - 06T
E38000119,03H,NHS Humber and North Yorkshire ICB - 03H
E38000122,03K,NHS Humber and North Yorkshire ICB - 03K
E38000126,05G,NHS Staffordshire and Stoke-on-Trent ICB - 05G
E38000127,99C,NHS North East and North Cumbria ICB - 99C
E38000130,00L,NHS North East and North Cumbria ICB - 00L
E38000135,00Y,NHS Greater Manchester ICB - 00Y
E38000136,10Q,"NHS Buckinghamshire, Oxfordshire and Berkshire West ICB - 10Q"
E38000137,10R,NHS Hampshire and Isle of Wight ICB - 10R
E38000141,03L,NHS South Yorkshire ICB - 03L
E38000143,01G,NHS Greater Manchester ICB - 01G
E38000146,03N,NHS South Yorkshire ICB - 03N
E38000150,11X,NHS Somerset ICB - 11X
E38000153,05Q,NHS Staffordshire and Stoke-on-Trent ICB - 05Q
E38000161,01T,NHS Cheshire and Merseyside ICB - 01T
E38000163,00N,NHS North East and North Cumbria ICB - 00N
E38000168,99G,NHS Mid and South Essex ICB - 99G
E38000170,01V,NHS Cheshire and Merseyside ICB - 01V
E38000172,01X,NHS Cheshire and Merseyside ICB - 01X
E38000173,05V,NHS Staffordshire and Stoke-on-Trent ICB - 05V
E38000174,01W,NHS Greater Manchester ICB - 01W
E38000175,05W,NHS Staffordshire and Stoke-on-Trent ICB - 05W
E38000176,00P,NHS North East and North Cumbria ICB - 00P
E38000185,07G,NHS Mid and South Essex ICB - 07G
E38000187,02A,NHS Greater Manchester ICB - 02A
E38000188,03Q,NHS Humber and North Yorkshire ICB - 03Q
E38000190,03R,NHS West Yorkshire ICB - 03R
E38000194,02E,NHS Cheshire and Merseyside ICB - 02E
E38000197,07H,NHS Hertfordshire and West Essex ICB - 07H
E38000200,02G,NHS Lancashire and South Cumbria ICB - 02G
E38000201,04V,"NHS Leicester, Leicestershire and Rutland ICB - 04V"
E38000204,07K,NHS Suffolk and North East Essex ICB - 07K
E38000205,02H,NHS Greater Manchester ICB - 02H
E38000208,12F,NHS Cheshire and Merseyside ICB - 12F
E38000212,13T,NHS North East and North Cumbria ICB - 13T
E38000215,01H,NHS North East and North Cumbria ICB - 01H
E38000217,14L,NHS Greater Manchester ICB - 14L
E38000221,15A,"NHS Buckinghamshire, Oxfordshire and Berkshire West ICB - 15A"
E38000222,15C,"NHS Bristol, North Somerset and South Gloucestershire ICB - 15C"
E38000223,14Y,"NHS Buckinghamshire, Oxfordshire and Berkshire West ICB - 14Y"
E38000225,15F,NHS West Yorkshire ICB - 15F
E38000226,02M,NHS Lancashire and South Cumbria ICB - 02M
E38000227,01E,NHS Lancashire and South Cumbria ICB - 01E
E38000228,01K,NHS Lancashire and South Cumbria ICB - 01K
E38000230,15N,NHS Devon ICB - 15N
E38000231,92G,"NHS Bath and North East Somerset, Swindon and Wiltshire ICB - 92G"
E38000232,36J,NHS West Yorkshire ICB - 36J
E38000233,27D,NHS Cheshire and Merseyside ICB - 27D
E38000234,84H,NHS North East and North Cumbria ICB - 84H
E38000235,97R,NHS Sussex ICB - 97R
E38000236,18C,NHS Herefordshire and Worcestershire ICB - 18C
E38000237,91Q,NHS Kent and Medway ICB - 91Q
E38000238,71E,NHS Lincolnshire ICB - 71E
